MGA,Full policy number,Policy Effective Date,Policy Expiration Date,Insured Name,Insured Address,Insured City,Insured State,Insured Zip,Transaction Effective Date,Transaction Expiration Date,Premium,Commission amount,Book or Process Date,Policy Type,Transaction Type,Primary/Excess Indicator,Attachment Point,CM/Occ Indicator,Risk/Location Address,Risk/Location State,Risk/Location Zip,Exposure Type,Policy Occurrence Limit,Policy Aggregate Limit,Policy Event Number,Carrier %,Broker/Agent,Broker/Agent Address,Broker/Agent City,Broker/Agent State,Broker/Agent Zip,Vehicle Number,Vehicle Type,Radius Of Use,Gross Vehicle Weight,Vehicle Make,Vehicle Model,Model Year,Vehicle Identification Number,Specialized Vehicle Type,"Vehicle Number of Seats, Seating Capacity"
Daniel Abrahamsen,ASC-9539732-00,2023-10-06,2024-10-06,8 RIVAS TRANSPORT LLC,1765 MORGAN LANE,CONYERS,GA,30012,2023-10-06,2024-10-06,0,0.0,2023-10-06,New Business,NB,Primary,0.0,Occurrence,1765 MORGAN LANE,GA,30012,1.0,1000000.0,"$2,000,000",ASC-9539732-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1FVABPCS53DK31076,Truck,1.613,"Medium Trucks (10,000 - 20,000)",FREIGHTLINER,FL-60,2003.0,1FVABPCS53DK31076,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-22,2024-09-06,-2668.59,-467.0,2023-09-22,Endorsement,EN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,2.0,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1FUJGHDV6FLGE4167,Truck,1.15,"Extra Heavy Trucks (45,001+)",FREIGHTLINER,CASCADIA,2015.0,1FUJGHDV6FLGE4167,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-22,2024-09-06,0,0.0,2023-09-22,Endorsement,EN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,2.0,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1FUJGHDV6FLGE4167,Truck,1.15,"Extra Heavy Trucks (45,001+)",FREIGHTLINER,CASCADIA,2015.0,1FUJGHDV6FLGE4167,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-22,2024-09-06,0,0.0,2023-09-22,Endorsement,EN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,2.0,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1FUJGHDV6FLGE4167,Truck,1.15,"Extra Heavy Trucks (45,001+)",FREIGHTLINER,CASCADIA,2015.0,1FUJGHDV6FLGE4167,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-22,2024-09-06,0,0.0,2023-09-22,Endorsement,EN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,2.0,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1FUJGHDV6FLGE4167,Truck,1.15,"Extra Heavy Trucks (45,001+)",FREIGHTLINER,CASCADIA,2015.0,1FUJGHDV6FLGE4167,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-22,2024-09-06,-2668.59,-467.0,2023-09-22,Endorsement,EN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,2.0,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1XP4D49X0GD342305,Truck,1.15,"Extra Heavy Trucks (45,001+)",PETERBILT,587,2016.0,1XP4D49X0GD342305,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-22,2024-09-06,0,0.0,2023-09-22,Endorsement,EN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,2.0,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1XP4D49X0GD342305,Truck,1.15,"Extra Heavy Trucks (45,001+)",PETERBILT,587,2016.0,1XP4D49X0GD342305,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-22,2024-09-06,0,0.0,2023-09-22,Endorsement,EN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,2.0,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1XP4D49X0GD342305,Truck,1.15,"Extra Heavy Trucks (45,001+)",PETERBILT,587,2016.0,1XP4D49X0GD342305,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-22,2024-09-06,0,0.0,2023-09-22,Endorsement,EN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,2.0,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1XP4D49X0GD342305,Truck,1.15,"Extra Heavy Trucks (45,001+)",PETERBILT,587,2016.0,1XP4D49X0GD342305,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-06,2024-09-06,-10523.41,-1841.6,2023-09-06,Cancellation,CN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1FUJGHDV6FLGE4167,Truck,1.15,"Extra Heavy Trucks (45,001+)",FREIGHTLINER,CASCADIA,2015.0,1FUJGHDV6FLGE4167,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-06,2024-09-06,-100,-17.5,2023-09-06,Cancellation,CN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1FUJGHDV6FLGE4167,Truck,1.15,"Extra Heavy Trucks (45,001+)",FREIGHTLINER,CASCADIA,2015.0,1FUJGHDV6FLGE4167,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-06,2024-09-06,0,0.0,2023-09-06,Cancellation,CN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1FUJGHDV6FLGE4167,Truck,1.15,"Extra Heavy Trucks (45,001+)",FREIGHTLINER,CASCADIA,2015.0,1FUJGHDV6FLGE4167,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-06,2024-09-06,-100,-17.5,2023-09-06,Cancellation,CN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1FUJGHDV6FLGE4167,Truck,1.15,"Extra Heavy Trucks (45,001+)",FREIGHTLINER,CASCADIA,2015.0,1FUJGHDV6FLGE4167,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-06,2024-09-06,-10523.41,-1841.6,2023-09-06,Cancellation,CN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1XP4D49X0GD342305,Truck,1.15,"Extra Heavy Trucks (45,001+)",PETERBILT,587,2016.0,1XP4D49X0GD342305,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-06,2024-09-06,-100,-17.5,2023-09-06,Cancellation,CN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1XP4D49X0GD342305,Truck,1.15,"Extra Heavy Trucks (45,001+)",PETERBILT,587,2016.0,1XP4D49X0GD342305,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-06,2024-09-06,0,0.0,2023-09-06,Cancellation,CN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1XP4D49X0GD342305,Truck,1.15,"Extra Heavy Trucks (45,001+)",PETERBILT,587,2016.0,1XP4D49X0GD342305,Truck,1-8
Daniel Abrahamsen,ASC-9920825-00,2023-09-06,2024-09-06,TRIPLE TRANSPORT LLC,212 Wyoming Street,Wilkes-Barre,PA,18705,2023-09-06,2024-09-06,-100,-17.5,2023-09-06,Cancellation,CN,Primary,0.0,Occurrence,212 Wyoming Street,PA,18705,,1000000.0,"$2,000,000",ASC-9920825-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1XP4D49X0GD342305,Truck,1.15,"Extra Heavy Trucks (45,001+)",PETERBILT,587,2016.0,1XP4D49X0GD342305,Truck,1-8
Daniel Abrahamsen,ASC-2200503-00,2023-10-06,2024-10-06,LF DELIVERY SUPPLIES SERVICE INC,24 NE 20TH PL,CAPE CORAL,FL,33909-2857,2023-10-06,2024-10-06,11765.53,2058.97,2023-10-06,New Business,NB,Primary,0.0,Occurrence,8040 Dani Dr,FL,33966,1.0,1000000.0,"$2,000,000",ASC-2200503-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,4V4NC9EH7JN993859,Truck,0.77,"Extra Heavy Trucks (45,001+)",VOLVO,VNL64T,2018.0,4V4NC9EH7JN993859,Truck,1-8
Daniel Abrahamsen,ASC-2200503-00,2023-10-06,2024-10-06,LF DELIVERY SUPPLIES SERVICE INC,24 NE 20TH PL,CAPE CORAL,FL,33909-2857,2023-10-06,2024-10-06,360.04,63.01,2023-10-06,New Business,NB,Primary,0.0,Occurrence,8040 Dani Dr,FL,33966,1.0,1000000.0,"$2,000,000",ASC-2200503-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,4V4NC9EH7JN993859,Truck,0.77,"Extra Heavy Trucks (45,001+)",VOLVO,VNL64T,2018.0,4V4NC9EH7JN993859,Truck,1-8
Daniel Abrahamsen,ASC-2200503-00,2023-10-06,2024-10-06,LF DELIVERY SUPPLIES SERVICE INC,24 NE 20TH PL,CAPE CORAL,FL,33909-2857,2023-10-06,2024-10-06,0,0.0,2023-10-06,New Business,NB,Primary,0.0,Occurrence,8040 Dani Dr,FL,33966,1.0,1000000.0,"$2,000,000",ASC-2200503-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,4V4NC9EH7JN993859,Truck,0.77,"Extra Heavy Trucks (45,001+)",VOLVO,VNL64T,2018.0,4V4NC9EH7JN993859,Truck,1-8
Daniel Abrahamsen,ASC-2200503-00,2023-10-06,2024-10-06,LF DELIVERY SUPPLIES SERVICE INC,24 NE 20TH PL,CAPE CORAL,FL,33909-2857,2023-10-06,2024-10-06,244.48,42.78,2023-10-06,New Business,NB,Primary,0.0,Occurrence,8040 Dani Dr,FL,33966,1.0,1000000.0,"$2,000,000",ASC-2200503-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,4V4NC9EH7JN993859,Truck,0.77,"Extra Heavy Trucks (45,001+)",VOLVO,VNL64T,2018.0,4V4NC9EH7JN993859,Truck,1-8
Daniel Abrahamsen,ASC-6678457-00,2023-10-01,2024-10-01,SOLJI UNLIMITED TRANSPORTATION INC,7619 76th Way,West Palm Beach,FL,33407,2023-10-03,2024-10-01,-8540.7,-1494.62,2023-10-03,Endorsement,EN,Primary,0.0,Occurrence,7619 76th Way,FL,33407,1.0,1000000.0,"$2,000,000",ASC-6678457-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3HAEUMML3NL250484,Truck,1.305,"Medium Trucks (10,000 - 20,000)",INT'L,MV607,2022.0,3HAEUMML3NL250484,Truck,1-8
Daniel Abrahamsen,ASC-6678457-00,2023-10-01,2024-10-01,SOLJI UNLIMITED TRANSPORTATION INC,7619 76th Way,West Palm Beach,FL,33407,2023-10-03,2024-10-01,-396.59,-69.4,2023-10-03,Endorsement,EN,Primary,0.0,Occurrence,7619 76th Way,FL,33407,1.0,1000000.0,"$2,000,000",ASC-6678457-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3HAEUMML3NL250484,Truck,1.305,"Medium Trucks (10,000 - 20,000)",INT'L,MV607,2022.0,3HAEUMML3NL250484,Truck,1-8
Daniel Abrahamsen,ASC-6678457-00,2023-10-01,2024-10-01,SOLJI UNLIMITED TRANSPORTATION INC,7619 76th Way,West Palm Beach,FL,33407,2023-10-03,2024-10-01,0,0.0,2023-10-03,Endorsement,EN,Primary,0.0,Occurrence,7619 76th Way,FL,33407,1.0,1000000.0,"$2,000,000",ASC-6678457-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3HAEUMML3NL250484,Truck,1.305,"Medium Trucks (10,000 - 20,000)",INT'L,MV607,2022.0,3HAEUMML3NL250484,Truck,1-8
Daniel Abrahamsen,ASC-6678457-00,2023-10-01,2024-10-01,SOLJI UNLIMITED TRANSPORTATION INC,7619 76th Way,West Palm Beach,FL,33407,2023-10-03,2024-10-01,-406.79,-71.19,2023-10-03,Endorsement,EN,Primary,0.0,Occurrence,7619 76th Way,FL,33407,1.0,1000000.0,"$2,000,000",ASC-6678457-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3HAEUMML3NL250484,Truck,1.305,"Medium Trucks (10,000 - 20,000)",INT'L,MV607,2022.0,3HAEUMML3NL250484,Truck,1-8
Daniel Abrahamsen,ASC-6678457-00,2023-10-01,2024-10-01,SOLJI UNLIMITED TRANSPORTATION INC,7619 76th Way,West Palm Beach,FL,33407,2023-10-03,2024-10-01,8633.11,1510.79,2023-10-03,Endorsement,EN,Primary,0.0,Occurrence,7619 76th Way,FL,33407,1.0,1000000.0,"$2,000,000",ASC-6678457-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,5PVNJ7AV9R5T55416,Truck,1.305,"Medium Trucks (10,000 - 20,000)",HINO,L6ALP,2024.0,5PVNJ7AV9R5T55416,Truck,1-8
Daniel Abrahamsen,ASC-6678457-00,2023-10-01,2024-10-01,SOLJI UNLIMITED TRANSPORTATION INC,7619 76th Way,West Palm Beach,FL,33407,2023-10-03,2024-10-01,396.59,69.4,2023-10-03,Endorsement,EN,Primary,0.0,Occurrence,7619 76th Way,FL,33407,1.0,1000000.0,"$2,000,000",ASC-6678457-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,5PVNJ7AV9R5T55416,Truck,1.305,"Medium Trucks (10,000 - 20,000)",HINO,L6ALP,2024.0,5PVNJ7AV9R5T55416,Truck,1-8
Daniel Abrahamsen,ASC-6678457-00,2023-10-01,2024-10-01,SOLJI UNLIMITED TRANSPORTATION INC,7619 76th Way,West Palm Beach,FL,33407,2023-10-03,2024-10-01,0,0.0,2023-10-03,Endorsement,EN,Primary,0.0,Occurrence,7619 76th Way,FL,33407,1.0,1000000.0,"$2,000,000",ASC-6678457-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,5PVNJ7AV9R5T55416,Truck,1.305,"Medium Trucks (10,000 - 20,000)",HINO,L6ALP,2024.0,5PVNJ7AV9R5T55416,Truck,1-8
Daniel Abrahamsen,ASC-6678457-00,2023-10-01,2024-10-01,SOLJI UNLIMITED TRANSPORTATION INC,7619 76th Way,West Palm Beach,FL,33407,2023-10-03,2024-10-01,406.79,71.19,2023-10-03,Endorsement,EN,Primary,0.0,Occurrence,7619 76th Way,FL,33407,1.0,1000000.0,"$2,000,000",ASC-6678457-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,5PVNJ7AV9R5T55416,Truck,1.305,"Medium Trucks (10,000 - 20,000)",HINO,L6ALP,2024.0,5PVNJ7AV9R5T55416,Truck,1-8
Daniel Abrahamsen,ASC-2949731-00,2023-09-16,2024-09-16,JOSE ISMAEL RODRIGUEZ,2292 MCCONNELL RD,EL CENTRO,CA,92243-9715,2023-09-23,2024-09-16,1911.1,334.44,2023-09-23,Endorsement,EN,Primary,0.0,Occurrence,2292 MCCONNELL RD,CA,92243-9715,1.0,1000000.0,"$2,000,000",ASC-2949731-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1XPBD49XXGD281763,Truck,1.12,"Extra Heavy Trucks (45,001+)",PETERBILT,579,2016.0,1XPBD49XXGD281763,Truck,1-8
Daniel Abrahamsen,ASC-2949731-00,2023-09-16,2024-09-16,JOSE ISMAEL RODRIGUEZ,2292 MCCONNELL RD,EL CENTRO,CA,92243-9715,2023-09-23,2024-09-16,0,0.0,2023-09-23,Endorsement,EN,Primary,0.0,Occurrence,2292 MCCONNELL RD,CA,92243-9715,1.0,1000000.0,"$2,000,000",ASC-2949731-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1XPBD49XXGD281763,Truck,1.12,"Extra Heavy Trucks (45,001+)",PETERBILT,579,2016.0,1XPBD49XXGD281763,Truck,1-8
Daniel Abrahamsen,ASC-2949731-00,2023-09-16,2024-09-16,JOSE ISMAEL RODRIGUEZ,2292 MCCONNELL RD,EL CENTRO,CA,92243-9715,2023-09-23,2024-09-16,1.27,0.22,2023-09-23,Endorsement,EN,Primary,0.0,Occurrence,2292 MCCONNELL RD,CA,92243-9715,1.0,1000000.0,"$2,000,000",ASC-2949731-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1XPBD49XXGD281763,Truck,1.12,"Extra Heavy Trucks (45,001+)",PETERBILT,579,2016.0,1XPBD49XXGD281763,Truck,1-8
Daniel Abrahamsen,ASC-2949731-00,2023-09-16,2024-09-16,JOSE ISMAEL RODRIGUEZ,2292 MCCONNELL RD,EL CENTRO,CA,92243-9715,2023-09-23,2024-09-16,60.62,10.61,2023-09-23,Endorsement,EN,Primary,0.0,Occurrence,2292 MCCONNELL RD,CA,92243-9715,1.0,1000000.0,"$2,000,000",ASC-2949731-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,1XPBD49XXGD281763,Truck,1.12,"Extra Heavy Trucks (45,001+)",PETERBILT,579,2016.0,1XPBD49XXGD281763,Truck,1-8
Daniel Abrahamsen,ASC-5197889-00,2023-09-15,2024-09-15,LOCKDOWN7 LLC,4201 CITY POINT WEST APT 2328,NORTH RICHLAND HILLS,TX,76180,2023-10-06,2024-09-15,3844.85,672.85,2023-10-06,Endorsement,EN,Primary,0.0,Occurrence,4201 CITY POINT WEST APT 2328,TX,76180,1.0,1000000.0,"$2,000,000",ASC-5197889-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3FRNF7FA4CV187481,Truck,1.0172,"Heavy Trucks (20,000 - 45,000)",FORD,F750,2012.0,3FRNF7FA4CV187481,Truck,1-8
Daniel Abrahamsen,ASC-5197889-00,2023-09-15,2024-09-15,LOCKDOWN7 LLC,4201 CITY POINT WEST APT 2328,NORTH RICHLAND HILLS,TX,76180,2023-10-06,2024-09-15,0,0.0,2023-10-06,Endorsement,EN,Primary,0.0,Occurrence,4201 CITY POINT WEST APT 2328,TX,76180,1.0,1000000.0,"$2,000,000",ASC-5197889-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3FRNF7FA4CV187481,Truck,1.0172,"Heavy Trucks (20,000 - 45,000)",FORD,F750,2012.0,3FRNF7FA4CV187481,Truck,1-8
Daniel Abrahamsen,ASC-5197889-00,2023-09-15,2024-09-15,LOCKDOWN7 LLC,4201 CITY POINT WEST APT 2328,NORTH RICHLAND HILLS,TX,76180,2023-10-06,2024-09-15,21.77,3.81,2023-10-06,Endorsement,EN,Primary,0.0,Occurrence,4201 CITY POINT WEST APT 2328,TX,76180,1.0,1000000.0,"$2,000,000",ASC-5197889-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3FRNF7FA4CV187481,Truck,1.0172,"Heavy Trucks (20,000 - 45,000)",FORD,F750,2012.0,3FRNF7FA4CV187481,Truck,1-8
Daniel Abrahamsen,ASC-5197889-00,2023-09-15,2024-09-15,LOCKDOWN7 LLC,4201 CITY POINT WEST APT 2328,NORTH RICHLAND HILLS,TX,76180,2023-10-06,2024-09-15,0,0.0,2023-10-06,Endorsement,EN,Primary,0.0,Occurrence,4201 CITY POINT WEST APT 2328,TX,76180,1.0,1000000.0,"$2,000,000",ASC-5197889-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3FRNF7FA4CV187481,Truck,1.0172,"Heavy Trucks (20,000 - 45,000)",FORD,F750,2012.0,3FRNF7FA4CV187481,Truck,1-8
Daniel Abrahamsen,ASC-9487184-00,2023-08-30,2024-08-30,LEO LOGISTICS INC,252 Caminito Ameca,La Jolla,CA,92037,2023-10-07,2024-08-30,0,0.0,2023-10-07,Endorsement,EN,Primary,0.0,Occurrence,252 Caminito Ameca,CA,92037,1.0,1000000.0,"$2,000,000",ASC-9487184-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3HSDJAPR3EN759188,Truck,1.444,"Extra Heavy Trucks (45,001+)",INT'L,PROSTAR,2014.0,3HSDJAPR3EN759188,Truck,1-8
Daniel Abrahamsen,ASC-9487184-00,2023-08-30,2024-08-30,LEO LOGISTICS INC,252 Caminito Ameca,La Jolla,CA,92037,2023-10-07,2024-08-30,0,0.0,2023-10-07,Endorsement,EN,Primary,0.0,Occurrence,252 Caminito Ameca,CA,92037,1.0,1000000.0,"$2,000,000",ASC-9487184-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3HSDJAPR3EN759188,Truck,1.444,"Extra Heavy Trucks (45,001+)",INT'L,PROSTAR,2014.0,3HSDJAPR3EN759188,Truck,1-8
Daniel Abrahamsen,ASC-9487184-00,2023-08-30,2024-08-30,LEO LOGISTICS INC,252 Caminito Ameca,La Jolla,CA,92037,2023-10-07,2024-08-30,0,0.0,2023-10-07,Endorsement,EN,Primary,0.0,Occurrence,252 Caminito Ameca,CA,92037,1.0,1000000.0,"$2,000,000",ASC-9487184-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3HSDJAPR3EN759188,Truck,1.444,"Extra Heavy Trucks (45,001+)",INT'L,PROSTAR,2014.0,3HSDJAPR3EN759188,Truck,1-8
Daniel Abrahamsen,ASC-9487184-00,2023-08-30,2024-08-30,LEO LOGISTICS INC,252 Caminito Ameca,La Jolla,CA,92037,2023-10-07,2024-08-30,0,0.0,2023-10-07,Endorsement,EN,Primary,0.0,Occurrence,252 Caminito Ameca,CA,92037,1.0,1000000.0,"$2,000,000",ASC-9487184-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3HSDJAPR3EN759188,Truck,1.444,"Extra Heavy Trucks (45,001+)",INT'L,PROSTAR,2014.0,3HSDJAPR3EN759188,Truck,1-8
Daniel Abrahamsen,ASC-3727858-00,2023-10-06,2024-10-06,GRANADO'S CORP,12410 SW 188th Terr,MIAMI,FL,33177,2023-10-06,2024-10-06,17597.83,3079.62,2023-10-06,New Business,NB,Primary,0.0,Occurrence,12410 SW 188th Terr,FL,33177,1.0,1000000.0,"$2,000,000",ASC-3727858-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3C63RRKL7JG214843,Truck,1.485,"Medium Trucks (10,000 - 20,000)",RAM,3500,2018.0,3C63RRKL7JG214843,Truck,1-8
Daniel Abrahamsen,ASC-3727858-00,2023-10-06,2024-10-06,GRANADO'S CORP,12410 SW 188th Terr,MIAMI,FL,33177,2023-10-06,2024-10-06,455.11,79.64,2023-10-06,New Business,NB,Primary,0.0,Occurrence,12410 SW 188th Terr,FL,33177,1.0,1000000.0,"$2,000,000",ASC-3727858-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3C63RRKL7JG214843,Truck,1.485,"Medium Trucks (10,000 - 20,000)",RAM,3500,2018.0,3C63RRKL7JG214843,Truck,1-8
Daniel Abrahamsen,ASC-3727858-00,2023-10-06,2024-10-06,GRANADO'S CORP,12410 SW 188th Terr,MIAMI,FL,33177,2023-10-06,2024-10-06,0,0.0,2023-10-06,New Business,NB,Primary,0.0,Occurrence,12410 SW 188th Terr,FL,33177,1.0,1000000.0,"$2,000,000",ASC-3727858-00,100.0,Cover Whale Insurance Solutions Inc.,9584 Greensburg Ave,Las Vegas,Nevada,89178.0,3C63RRKL7JG214843,Truck,1.485,"Medium Trucks (10,000 - 20,000)",RAM,3500,2018.0,3C63RRKL7JG214843,Truck,1-8
